O*NET-SOC,Career_Title,Short_Description,Attributes,Job_Zone
33-9021.00,Private Detectives and Investigators,,Private Detectives and Investigators|Private|Detectives|and|Investigators,
21-1092.00,Probation Officers and Correctional Treatment Specialists,,Probation Officers and Correctional Treatment Specialists|Probation|Officers|and|Correctional|Treatment,
43-3061.00,Procurement Clerks,,Procurement Clerks|Procurement|Clerks,
27-2012.00,Producers and Directors,,Producers and Directors|Producers|and|Directors,
51-9199.00,"Production Workers, All Other",,"Production Workers, All Other|Production|Workers,|All|Other",
43-5061.00,"Production, Planning, and Expediting Clerks",,"Production, Planning, and Expediting Clerks|Production,|Planning,|and|Expediting|Clerks",
13-1082.00,Project Management Specialists,,Project Management Specialists|Project|Management|Specialists,
43-9081.00,Proofreaders and Copy Markers,,Proofreaders and Copy Markers|Proofreaders|and|Copy|Markers,
11-9141.00,"Property, Real Estate, and Community Association Managers",,"Property, Real Estate, and Community Association Managers|Property,|Real|Estate,|and|Community",
29-1024.00,Prosthodontists,,Prosthodontists|Prosthodontists,
33-9099.00,"Protective Service Workers, All Other",,"Protective Service Workers, All Other|Protective|Service|Workers,|All|Other",
31-1133.00,Psychiatric Aides,,Psychiatric Aides|Psychiatric|Aides,
29-2053.00,Psychiatric Technicians,,Psychiatric Technicians|Psychiatric|Technicians,
29-1223.00,Psychiatrists,,Psychiatrists|Psychiatrists,
19-3039.00,"Psychologists, All Other",,"Psychologists, All Other|Psychologists,|All|Other",
25-1066.00,"Psychology Teachers, Postsecondary",,"Psychology Teachers, Postsecondary|Psychology|Teachers,|Postsecondary",
11-2032.00,Public Relations Managers,,Public Relations Managers|Public|Relations|Managers,
27-3031.00,Public Relations Specialists,,Public Relations Specialists|Public|Relations|Specialists,
43-5031.00,Public Safety Telecommunicators,,Public Safety Telecommunicators|Public|Safety|Telecommunicators,
53-7072.00,"Pump Operators, Except Wellhead Pumpers",,"Pump Operators, Except Wellhead Pumpers|Pump|Operators,|Except|Wellhead|Pumpers",
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",,"Purchasing Agents, Except Wholesale, Retail, and Farm Products|Purchasing|Agents,|Except|Wholesale,|Retail,",
11-3061.00,Purchasing Managers,,Purchasing Managers|Purchasing|Managers,
19-4099.01,Quality Control Analysts,,Quality Control Analysts|Quality|Control|Analysts,
11-3051.01,Quality Control Systems Managers,,Quality Control Systems Managers|Quality|Control|Systems|Managers,
29-1124.00,Radiation Therapists,,Radiation Therapists|Radiation|Therapists,
17-2072.01,Radio Frequency Identification Device Specialists,,Radio Frequency Identification Device Specialists|Radio|Frequency|Identification|Device|Specialists,
49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",,"Radio, Cellular, and Tower Equipment Installers and Repairers|Radio,|Cellular,|and|Tower|Equipment",
29-2034.00,Radiologic Technologists and Technicians,,Radiologic Technologists and Technicians|Radiologic|Technologists|and|Technicians,
29-1224.00,Radiologists,,Radiologists|Radiologists,
49-3043.00,Rail Car Repairers,,Rail Car Repairers|Rail|Car|Repairers,
53-4099.00,"Rail Transportation Workers, All Other",,"Rail Transportation Workers, All Other|Rail|Transportation|Workers,|All|Other",
53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers",,"Rail Yard Engineers, Dinkey Operators, and Hostlers|Rail|Yard|Engineers,|Dinkey|Operators,",
47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,,Rail-Track Laying and Maintenance Equipment Operators|Rail|Track|Laying|and|Maintenance,
53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers|Railroad|Brake,|Signal,|and|Switch",
53-4031.00,Railroad Conductors and Yardmasters,,Railroad Conductors and Yardmasters|Railroad|Conductors|and|Yardmasters,
19-1031.02,Range Managers,,Range Managers|Range|Managers,
41-9021.00,Real Estate Brokers,,Real Estate Brokers|Real|Estate|Brokers,
41-9022.00,Real Estate Sales Agents,,Real Estate Sales Agents|Real|Estate|Sales|Agents,
43-4171.00,Receptionists and Information Clerks,,Receptionists and Information Clerks|Receptionists|and|Information|Clerks,
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",,"Recreation and Fitness Studies Teachers, Postsecondary|Recreation|and|Fitness|Studies|Teachers,",
39-9032.00,Recreation Workers,,Recreation Workers|Recreation|Workers,
29-1125.00,Recreational Therapists,,Recreational Therapists|Recreational|Therapists,
49-3092.00,Recreational Vehicle Service Technicians,,Recreational Vehicle Service Technicians|Recreational|Vehicle|Service|Technicians,
53-7062.04,Recycling and Reclamation Workers,,Recycling and Reclamation Workers|Recycling|and|Reclamation|Workers,
53-1042.01,Recycling Coordinators,,Recycling Coordinators|Recycling|Coordinators,
49-9045.00,"Refractory Materials Repairers, Except Brickmasons",,"Refractory Materials Repairers, Except Brickmasons|Refractory|Materials|Repairers,|Except|Brickmasons",
53-7081.00,Refuse and Recyclable Material Collectors,,Refuse and Recyclable Material Collectors|Refuse|and|Recyclable|Material|Collectors,
29-1141.00,Registered Nurses,,Registered Nurses|Registered|Nurses,
11-9199.01,Regulatory Affairs Managers,,Regulatory Affairs Managers|Regulatory|Affairs|Managers,
13-1041.07,Regulatory Affairs Specialists,,Regulatory Affairs Specialists|Regulatory|Affairs|Specialists,
21-1015.00,Rehabilitation Counselors,,Rehabilitation Counselors|Rehabilitation|Counselors,
47-2171.00,Reinforcing Iron and Rebar Workers,,Reinforcing Iron and Rebar Workers|Reinforcing|Iron|and|Rebar|Workers,
21-2099.00,"Religious Workers, All Other",,"Religious Workers, All Other|Religious|Workers,|All|Other",
19-2099.01,Remote Sensing Scientists and Technologists,,Remote Sensing Scientists and Technologists|Remote|Sensing|Scientists|and|Technologists,
19-4099.03,Remote Sensing Technicians,,Remote Sensing Technicians|Remote|Sensing|Technicians,
43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,,Reservation and Transportation Ticket Agents and Travel Clerks|Reservation|and|Transportation|Ticket|Agents,
39-9041.00,Residential Advisors,,Residential Advisors|Residential|Advisors,
29-1126.00,Respiratory Therapists,,Respiratory Therapists|Respiratory|Therapists,
33-9099.02,Retail Loss Prevention Specialists,,Retail Loss Prevention Specialists|Retail|Loss|Prevention|Specialists,
41-2031.00,Retail Salespersons,,Retail Salespersons|Retail|Salespersons,
49-9096.00,Riggers,,Riggers|Riggers,
17-2199.08,Robotics Engineers,,Robotics Engineers|Robotics|Engineers,
17-3024.01,Robotics Technicians,,Robotics Technicians|Robotics|Technicians,
47-5051.00,"Rock Splitters, Quarry",,"Rock Splitters, Quarry|Rock|Splitters,|Quarry",
51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic|Rolling|Machine|Setters,|Operators,|and",
47-5043.00,"Roof Bolters, Mining",,"Roof Bolters, Mining|Roof|Bolters,|Mining",
47-2181.00,Roofers,,Roofers|Roofers,
47-5012.00,"Rotary Drill Operators, Oil and Gas",,"Rotary Drill Operators, Oil and Gas|Rotary|Drill|Operators,|Oil|and",
47-5071.00,"Roustabouts, Oil and Gas",,"Roustabouts, Oil and Gas|Roustabouts,|Oil|and|Gas",
53-5011.00,Sailors and Marine Oilers,,Sailors and Marine Oilers|Sailors|and|Marine|Oilers,
41-9099.00,"Sales and Related Workers, All Other",,"Sales and Related Workers, All Other|Sales|and|Related|Workers,|All",
41-9031.00,Sales Engineers,,Sales Engineers|Sales|Engineers,
11-2022.00,Sales Managers,,Sales Managers|Sales|Managers,
41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel|Sales|Representatives|Services,|Except|Advertising,",
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products|Sales|Representatives,|Wholesale|and|Manufacturing,",
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products|Sales|Representatives,|Wholesale|and|Manufacturing,",
51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",,"Sawing Machine Setters, Operators, and Tenders, Wood|Sawing|Machine|Setters,|Operators,|and",
33-9094.00,School Bus Monitors,,School Bus Monitors|School|Bus|Monitors,
19-3034.00,School Psychologists,,School Psychologists|School|Psychologists,
13-1161.01,Search Marketing Strategists,,Search Marketing Strategists|Search|Marketing|Strategists,
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",,"Secondary School Teachers, Except Special and Career/Technical Education|Secondary|School|Teachers,|Except|Special",
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive|Secretaries|and|Administrative|Assistants,|Except",
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",,"Securities, Commodities, and Financial Services Sales Agents|Securities,|Commodities,|and|Financial|Services",
49-2098.00,Security and Fire Alarm Systems Installers,,Security and Fire Alarm Systems Installers|Security|and|Fire|Alarm|Systems,
33-9032.00,Security Guards,,Security Guards|Security|Guards,
13-1199.07,Security Management Specialists,,Security Management Specialists|Security|Management|Specialists,
11-3013.01,Security Managers,,Security Managers|Security|Managers,
47-4091.00,Segmental Pavers,,Segmental Pavers|Segmental|Pavers,
25-3021.00,Self-Enrichment Teachers,,Self-Enrichment Teachers|Self|Enrichment|Teachers,
51-9141.00,Semiconductor Processing Technicians,,Semiconductor Processing Technicians|Semiconductor|Processing|Technicians,
51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders|Separating,|Filtering,|Clarifying,|Precipitating,|and",
47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,,Septic Tank Servicers and Sewer Pipe Cleaners|Septic|Tank|Servicers|and|Sewer,
47-5013.00,"Service Unit Operators, Oil and Gas",,"Service Unit Operators, Oil and Gas|Service|Unit|Operators,|Oil|and",
27-1027.00,Set and Exhibit Designers,,Set and Exhibit Designers|Set|and|Exhibit|Designers,
51-6051.00,"Sewers, Hand",,"Sewers, Hand|Sewers,|Hand",
51-6031.00,Sewing Machine Operators,,Sewing Machine Operators|Sewing|Machine|Operators,
39-5093.00,Shampooers,,Shampooers|Shampooers,
47-2211.00,Sheet Metal Workers,,Sheet Metal Workers|Sheet|Metal|Workers,
53-5031.00,Ship Engineers,,Ship Engineers|Ship|Engineers,
43-5071.00,"Shipping, Receiving, and Inventory Clerks",,"Shipping, Receiving, and Inventory Clerks|Shipping,|Receiving,|and|Inventory|Clerks",
51-6041.00,Shoe and Leather Workers and Repairers,,Shoe and Leather Workers and Repairers|Shoe|and|Leather|Workers|and,
51-6042.00,Shoe Machine Operators and Tenders,,Shoe Machine Operators and Tenders|Shoe|Machine|Operators|and|Tenders,
53-3053.00,Shuttle Drivers and Chauffeurs,,Shuttle Drivers and Chauffeurs|Shuttle|Drivers|and|Chauffeurs,
49-9097.00,Signal and Track Switch Repairers,,Signal and Track Switch Repairers|Signal|and|Track|Switch|Repairers,
39-5094.00,Skincare Specialists,,Skincare Specialists|Skincare|Specialists,
51-3023.00,Slaughterers and Meat Packers,,Slaughterers and Meat Packers|Slaughterers|and|Meat|Packers,
11-9151.00,Social and Community Service Managers,,Social and Community Service Managers|Social|and|Community|Service|Managers,
21-1093.00,Social and Human Service Assistants,,Social and Human Service Assistants|Social|and|Human|Service|Assistants,
19-4061.00,Social Science Research Assistants,,Social Science Research Assistants|Social|Science|Research|Assistants,
25-1069.00,"Social Sciences Teachers, Postsecondary, All Other",,"Social Sciences Teachers, Postsecondary, All Other|Social|Sciences|Teachers,|Postsecondary,|All",
19-3099.00,"Social Scientists and Related Workers, All Other",,"Social Scientists and Related Workers, All Other|Social|Scientists|and|Related|Workers,",
25-1113.00,"Social Work Teachers, Postsecondary",,"Social Work Teachers, Postsecondary|Social|Work|Teachers,|Postsecondary",
21-1029.00,"Social Workers, All Other",,"Social Workers, All Other|Social|Workers,|All|Other",
19-3041.00,Sociologists,,Sociologists|Sociologists,
25-1067.00,"Sociology Teachers, Postsecondary",,"Sociology Teachers, Postsecondary|Sociology|Teachers,|Postsecondary",
15-1252.00,Software Developers,,Software Developers|Software|Developers,
15-1253.00,Software Quality Assurance Analysts and Testers,,Software Quality Assurance Analysts and Testers|Software|Quality|Assurance|Analysts|and,
19-1013.00,Soil and Plant Scientists,,Soil and Plant Scientists|Soil|and|Plant|Scientists,
47-1011.03,Solar Energy Installation Managers,,Solar Energy Installation Managers|Solar|Energy|Installation|Managers,
17-2199.11,Solar Energy Systems Engineers,,Solar Energy Systems Engineers|Solar|Energy|Systems|Engineers,
47-2231.00,Solar Photovoltaic Installers,,Solar Photovoltaic Installers|Solar|Photovoltaic|Installers,
41-4011.07,Solar Sales Representatives and Assessors,,Solar Sales Representatives and Assessors|Solar|Sales|Representatives|and|Assessors,
47-2152.04,Solar Thermal Installers and Technicians,,Solar Thermal Installers and Technicians|Solar|Thermal|Installers|and|Technicians,
27-4014.00,Sound Engineering Technicians,,Sound Engineering Technicians|Sound|Engineering|Technicians,
11-9179.02,Spa Managers,,Spa Managers|Spa|Managers,
25-2059.00,"Special Education Teachers, All Other",,"Special Education Teachers, All Other|Special|Education|Teachers,|All|Other",
25-2056.00,"Special Education Teachers, Elementary School",,"Special Education Teachers, Elementary School|Special|Education|Teachers,|Elementary|School",
25-2055.00,"Special Education Teachers, Kindergarten",,"Special Education Teachers, Kindergarten|Special|Education|Teachers,|Kindergarten",
25-2057.00,"Special Education Teachers, Middle School",,"Special Education Teachers, Middle School|Special|Education|Teachers,|Middle|School",
25-2051.00,"Special Education Teachers, Preschool",,"Special Education Teachers, Preschool|Special|Education|Teachers,|Preschool",
25-2058.00,"Special Education Teachers, Secondary School",,"Special Education Teachers, Secondary School|Special|Education|Teachers,|Secondary|School",
27-1014.00,Special Effects Artists and Animators,,Special Effects Artists and Animators|Special|Effects|Artists|and|Animators,
55-3018.00,Special Forces,,Special Forces|Special|Forces,
55-1017.00,Special Forces Officers,,Special Forces Officers|Special|Forces|Officers,
29-1127.00,Speech-Language Pathologists,,Speech-Language Pathologists|Speech|Language|Pathologists,
31-9099.01,Speech-Language Pathology Assistants,,Speech-Language Pathology Assistants|Speech|Language|Pathology|Assistants,
29-1229.06,Sports Medicine Physicians,,Sports Medicine Physicians|Sports|Medicine|Physicians,
51-8021.00,Stationary Engineers and Boiler Operators,,Stationary Engineers and Boiler Operators|Stationary|Engineers|and|Boiler|Operators,
43-9111.00,Statistical Assistants,,Statistical Assistants|Statistical|Assistants,
15-2041.00,Statisticians,,Statisticians|Statisticians,
53-7065.00,Stockers and Order Fillers,,Stockers and Order Fillers|Stockers|and|Order|Fillers,
51-9195.03,"Stone Cutters and Carvers, Manufacturing",,"Stone Cutters and Carvers, Manufacturing|Stone|Cutters|and|Carvers,|Manufacturing",
47-2022.00,Stonemasons,,Stonemasons|Stonemasons,
47-2221.00,Structural Iron and Steel Workers,,Structural Iron and Steel Workers|Structural|Iron|and|Steel|Workers,
51-2041.00,Structural Metal Fabricators and Fitters,,Structural Metal Fabricators and Fitters|Structural|Metal|Fabricators|and|Fitters,
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,,Substance Abuse and Behavioral Disorder Counselors|Substance|Abuse|and|Behavioral|Disorder,
25-3031.00,"Substitute Teachers, Short-Term",,"Substitute Teachers, Short-Term|Substitute|Teachers,|Short|Term",
53-4041.00,Subway and Streetcar Operators,,Subway and Streetcar Operators|Subway|and|Streetcar|Operators,
11-3071.04,Supply Chain Managers,,Supply Chain Managers|Supply|Chain|Managers,
29-1249.00,"Surgeons, All Other",,"Surgeons, All Other|Surgeons,|All|Other",
29-9093.00,Surgical Assistants,,Surgical Assistants|Surgical|Assistants,
29-2055.00,Surgical Technologists,,Surgical Technologists|Surgical|Technologists,
19-3022.00,Survey Researchers,,Survey Researchers|Survey|Researchers,
17-3031.00,Surveying and Mapping Technicians,,Surveying and Mapping Technicians|Surveying|and|Mapping|Technicians,
17-1022.00,Surveyors,,Surveyors|Surveyors,
13-1199.05,Sustainability Specialists,,Sustainability Specialists|Sustainability|Specialists,
43-2011.00,"Switchboard Operators, Including Answering Service",,"Switchboard Operators, Including Answering Service|Switchboard|Operators,|Including|Answering|Service",
51-6052.00,"Tailors, Dressmakers, and Custom Sewers",,"Tailors, Dressmakers, and Custom Sewers|Tailors,|Dressmakers,|and|Custom|Sewers",
27-2012.04,Talent Directors,,Talent Directors|Talent|Directors,
53-7121.00,"Tank Car, Truck, and Ship Loaders",,"Tank Car, Truck, and Ship Loaders|Tank|Car,|Truck,|and|Ship",
47-2082.00,Tapers,,Tapers|Tapers,
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",,"Tax Examiners and Collectors, and Revenue Agents|Tax|Examiners|and|Collectors,|and",
13-2082.00,Tax Preparers,,Tax Preparers|Tax|Preparers,
53-3054.00,Taxi Drivers,,Taxi Drivers|Taxi|Drivers,
25-3099.00,"Teachers and Instructors, All Other",,"Teachers and Instructors, All Other|Teachers|and|Instructors,|All|Other",
25-9049.00,"Teaching Assistants, All Other",,"Teaching Assistants, All Other|Teaching|Assistants,|All|Other",
25-9044.00,"Teaching Assistants, Postsecondary",,"Teaching Assistants, Postsecondary|Teaching|Assistants,|Postsecondary",
25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education|Teaching|Assistants,|Preschool,|Elementary,|Middle,",
25-9043.00,"Teaching Assistants, Special Education",,"Teaching Assistants, Special Education|Teaching|Assistants,|Special|Education",
51-2092.00,Team Assemblers,,Team Assemblers|Team|Assemblers,
27-3042.00,Technical Writers,,Technical Writers|Technical|Writers,
15-1241.01,Telecommunications Engineering Specialists,,Telecommunications Engineering Specialists|Telecommunications|Engineering|Specialists,
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",,"Telecommunications Equipment Installers and Repairers, Except Line Installers|Telecommunications|Equipment|Installers|and|Repairers,",
49-9052.00,Telecommunications Line Installers and Repairers,,Telecommunications Line Installers and Repairers|Telecommunications|Line|Installers|and|Repairers,
41-9041.00,Telemarketers,,Telemarketers|Telemarketers,
43-2021.00,Telephone Operators,,Telephone Operators|Telephone|Operators,
43-3071.00,Tellers,,Tellers|Tellers,
47-2053.00,Terrazzo Workers and Finishers,,Terrazzo Workers and Finishers|Terrazzo|Workers|and|Finishers,
51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,,Textile Bleaching and Dyeing Machine Operators and Tenders|Textile|Bleaching|and|Dyeing|Machine,
51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders",,"Textile Cutting Machine Setters, Operators, and Tenders|Textile|Cutting|Machine|Setters,|Operators,",
51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders|Textile|Knitting|and|Weaving|Machine",
51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders|Textile|Winding,|Twisting,|and|Drawing",
51-6099.00,"Textile, Apparel, and Furnishings Workers, All Other",,"Textile, Apparel, and Furnishings Workers, All Other|Textile,|Apparel,|and|Furnishings|Workers,",
29-1129.00,"Therapists, All Other",,"Therapists, All Other|Therapists,|All|Other",
47-2044.00,Tile and Stone Setters,,Tile and Stone Setters|Tile|and|Stone|Setters,
51-2061.00,Timing Device Assemblers and Adjusters,,Timing Device Assemblers and Adjusters|Timing|Device|Assemblers|and|Adjusters,
51-9197.00,Tire Builders,,Tire Builders|Tire|Builders,
49-3093.00,Tire Repairers and Changers,,Tire Repairers and Changers|Tire|Repairers|and|Changers,
23-2093.00,"Title Examiners, Abstractors, and Searchers",,"Title Examiners, Abstractors, and Searchers|Title|Examiners,|Abstractors,|and|Searchers",
51-4111.00,Tool and Die Makers,,Tool and Die Makers|Tool|and|Die|Makers,
51-4194.00,"Tool Grinders, Filers, and Sharpeners",,"Tool Grinders, Filers, and Sharpeners|Tool|Grinders,|Filers,|and|Sharpeners",
39-7011.00,Tour Guides and Escorts,,Tour Guides and Escorts|Tour|Guides|and|Escorts,
53-6041.00,Traffic Technicians,,Traffic Technicians|Traffic|Technicians,
11-3131.00,Training and Development Managers,,Training and Development Managers|Training|and|Development|Managers,
13-1151.00,Training and Development Specialists,,Training and Development Specialists|Training|and|Development|Specialists,
33-3052.00,Transit and Railroad Police,,Transit and Railroad Police|Transit|and|Railroad|Police,
17-2051.01,Transportation Engineers,,Transportation Engineers|Transportation|Engineers,
53-6051.00,Transportation Inspectors,,Transportation Inspectors|Transportation|Inspectors,
19-3099.01,Transportation Planners,,Transportation Planners|Transportation|Planners,
33-9093.00,Transportation Security Screeners,,Transportation Security Screeners|Transportation|Security|Screeners,
53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation|Transportation|Vehicle,|Equipment|and|Systems",
53-6099.00,"Transportation Workers, All Other",,"Transportation Workers, All Other|Transportation|Workers,|All|Other",
11-3071.00,"Transportation, Storage, and Distribution Managers",,"Transportation, Storage, and Distribution Managers|Transportation,|Storage,|and|Distribution|Managers",
41-3041.00,Travel Agents,,Travel Agents|Travel|Agents,
39-7012.00,Travel Guides,,Travel Guides|Travel|Guides,
11-3031.01,Treasurers and Controllers,,Treasurers and Controllers|Treasurers|and|Controllers,
37-3013.00,Tree Trimmers and Pruners,,Tree Trimmers and Pruners|Tree|Trimmers|and|Pruners,
25-3041.00,Tutors,,Tutors|Tutors,
27-2023.00,"Umpires, Referees, and Other Sports Officials",,"Umpires, Referees, and Other Sports Officials|Umpires,|Referees,|and|Other|Sports",
47-5049.00,"Underground Mining Machine Operators, All Other",,"Underground Mining Machine Operators, All Other|Underground|Mining|Machine|Operators,|All",
51-6093.00,Upholsterers,,Upholsterers|Upholsterers,
19-3051.00,Urban and Regional Planners,,Urban and Regional Planners|Urban|and|Regional|Planners,
29-1229.03,Urologists,,Urologists|Urologists,
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",,"Ushers, Lobby Attendants, and Ticket Takers|Ushers,|Lobby|Attendants,|and|Ticket",
17-2112.02,Validation Engineers,,Validation Engineers|Validation|Engineers,
29-1131.00,Veterinarians,,Veterinarians|Veterinarians,
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,,Veterinary Assistants and Laboratory Animal Caretakers|Veterinary|Assistants|and|Laboratory|Animal,
29-2056.00,Veterinary Technologists and Technicians,,Veterinary Technologists and Technicians|Veterinary|Technologists|and|Technicians,
15-1255.01,Video Game Designers,,Video Game Designers|Video|Game|Designers,
35-3031.00,Waiters and Waitresses,,Waiters and Waitresses|Waiters|and|Waitresses,
49-9064.00,Watch and Clock Repairers,,Watch and Clock Repairers|Watch|and|Clock|Repairers,
51-8031.00,Water and Wastewater Treatment Plant and System Operators,,Water and Wastewater Treatment Plant and System Operators|Water|and|Wastewater|Treatment|Plant,
11-9121.02,Water Resource Specialists,,Water Resource Specialists|Water|Resource|Specialists,
17-2051.02,Water/Wastewater Engineers,,Water/Wastewater Engineers|Water|Wastewater|Engineers,
47-4099.03,Weatherization Installers and Technicians,,Weatherization Installers and Technicians|Weatherization|Installers|and|Technicians,
15-1299.01,Web Administrators,,Web Administrators|Web|Administrators,
15-1255.00,Web and Digital Interface Designers,,Web and Digital Interface Designers|Web|and|Digital|Interface|Designers,
15-1254.00,Web Developers,,Web Developers|Web|Developers,
43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping|Weighers,|Measurers,|Checkers,|and|Samplers,",
51-4121.00,"Welders, Cutters, Solderers, and Brazers",,"Welders, Cutters, Solderers, and Brazers|Welders,|Cutters,|Solderers,|and|Brazers",
51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders|Welding,|Soldering,|and|Brazing|Machine",
53-7073.00,Wellhead Pumpers,,Wellhead Pumpers|Wellhead|Pumpers,
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",,"Wholesale and Retail Buyers, Except Farm Products|Wholesale|and|Retail|Buyers,|Except",
11-9199.10,Wind Energy Development Managers,,Wind Energy Development Managers|Wind|Energy|Development|Managers,
17-2199.10,Wind Energy Engineers,,Wind Energy Engineers|Wind|Energy|Engineers,
11-9199.09,Wind Energy Operations Managers,,Wind Energy Operations Managers|Wind|Energy|Operations|Managers,
49-9081.00,Wind Turbine Service Technicians,,Wind Turbine Service Technicians|Wind|Turbine|Service|Technicians,
51-7099.00,"Woodworkers, All Other",,"Woodworkers, All Other|Woodworkers,|All|Other",
51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing|Woodworking|Machine|Setters,|Operators,|and",
43-9022.00,Word Processors and Typists,,Word Processors and Typists|Word|Processors|and|Typists,
27-3043.00,Writers and Authors,,Writers and Authors|Writers|and|Authors,
19-1023.00,Zoologists and Wildlife Biologists,,Zoologists and Wildlife Biologists|Zoologists|and|Wildlife|Biologists,
